review,title,rating,date,size,color
"I’ve been wearing Nike for some time and have loved the lighter weight flyknit shoes. I had a pair similar to these and wanted something that might hold up to winter weather better. These seem like they will do the trick. The knit is a little heavier and more padded, which should keep out the cold. The bottom is the air bubble type, with a  layer of typical tread on the bottom. Very comfortable.",Comfortable and Heavier,5,10/24/23,7,Cool Grey/Anthracite-dark Grey
"Comfortable, fit great, good shoe",On time fit great,5,11/26/23,13,Bright Crimson/Black
Gift for my boyfriend was very pleased he loved them.  Great purchase,❤️,5,11/11/23,10,Cool Grey/Anthracite-dark Grey
"Very comfortable sneakers, the fit is perfect.",Nike sneakers,5,11/2/23,9,White
"Looks good , fits well, comfortable",Nice Shoe,5,10/15/23,10,White
exelent thanks,very nice,5,10/14/23,8,Black/Anthracite/White
I’ve had about 4 pairs of these since 2017. I use them almost daily! They are like walking on a cloud.,One of the best shoes ever made,5,7/17/23,9,Black/White/Anthracite
"After searching hi & lo for these trainers, luckily I was able to get these from USA and delivered to the UK. These are the most comfortable trainers I have ever worn. Definitely looking to order another pair, slightly a different shade of colour. I can now retire my old pair of the same Nikes I’ve had since 2018. The delivery was quick, only took 4 days to come.",Most Comfortable trainers,5,4/26/23,12,White/Dark Grey-wolf Grey
These were perfect!!,Exactly What I Wanted!!,5,9/19/23,10,White
Love these shoes!,Great shoe,5,9/15/23,10,Black/White/Anthracite
These shoes were ordered for my teen son. He loves them and they are of great quality!,Thumbs up,5,8/5/23,7,White
Only shoe I can use to run or walk in after multiple Achilles and knee surgery.,Best running shoe,5,8/2/23,13,Black/Black/Black
GREAT BUY,GREAT BUY,5,9/4/23,9,White
Fits comfy and looks cool. I feel like I'm walking on a cloud.,Pretty nice,5,8/3/23,8,Binary Blue/Black-obsidian
Great shoe. I’ve liked them since they first dropped.,Comfort,5,8/7/23,10,White/Dark Grey-wolf Grey
I like the shoes all the way around. They fit the way I needed them to and they’re so comfortable wow! Very light weight and your feet breathe through fabric. 10/10,Comfort,5,5/10/23,8,Cool Grey/Anthracite-dark Grey
Nice product,Very comfortable,5,8/13/23,14,Black/White/Anthracite
"This is my second pair, and I love them. Also, my feet thanks me too.😁",They are comfortable,5,6/26/23,13,Black/Black/Black
"Nice, very satisfied",Quality,5,8/3/23,7,Cool Grey/Anthracite-dark Grey
Awesome,Comfortable,5,8/4/23,10,White
Perfect,Perfect,5,7/16/23,11,White
"I really liked these sneakers but key word but, after receiving them the left sneaker toe was all dented then upon return received second pair and the right sneaker toe was dented . Don't know why this is . First time I received dented sneakers lol so I asked for a refund . Paying $170 for a pair of sneakers they should not be dented anywhere .",Dented toe twice,5,11/8/22,12,Black/Black/Black
Daily use,Super comfortable and still look good.,5,6/28/23,12,Cool Grey/Anthracite-dark Grey
Exactly what I was expecting.,Nice shoes,5,6/16/23,11,Binary Blue/Black-obsidian
"I actually bought the “used” pair. As stated, they were used like new and they were. Bottom of shoes were clean and so was the inside. The shoes are just what I was expecting. The only thing I don’t like is that the tongue is stitched to the shoe not allowing a full free open motion on it. Overall I’m happy with my purchase.",Awesome shoe!,5,10/13/22,10,White
Item was on time and as described,Nice shoes,5,5/21/23,12,Cool Grey/Anthracite-dark Grey
The shoes are perfect for running and calisthenics.,The shoes fit true to size and are a great buy for the price.,5,5/9/23,10,Cool Grey/Anthracite-dark Grey
Love these shoes. Very comfortable,Very nice,5,5/23/23,8,Wolf Grey/Dark Grey/White
I like everything about these shoes from the color and design.  They are also very comfortable.  They are lightweight and easy to get around in,I love these shoes!,5,1/21/23,8,White
Great shoe! Quick delivery! Great price!,Great shoe!,5,5/2/23,10,White
"Love the shoes. They fit with your normal size you wear. Be careful though, they do get dirty easy.",Shoes,5,1/28/23,13,White/Dark Grey-wolf Grey
Fit great,Very comfortable,5,5/6/23,9,White
Very comfortable and stylish shoes!!,Very comfortable,5,4/6/23,11,White
"Excellent choice, will buy again.",Good product.,5,3/30/23,10,Cool Grey/Anthracite-dark Grey
great.,vary comfee,5,4/26/23,13,White/Dark Grey-wolf Grey
These Mens Nike AirMax 2017 running sneakers in my opinion are the best sneakers on the market. Very supportive in the heal and arch area of your feet like standing on a cloud. Worth the money.,Best sneakers on the market and Worth the money. 👍🏻,5,8/5/22,11,Black/White/Anthracite
Great deal for the shoe just got it and so comfortable.,This is mad comfortable,5,1/18/23,7,White
I love this so much and very comfortable,Air max 2017,5,2/7/23,10,White
"Fit as expected, very nice shoes everything was on point","Perfect Nike's, I love them!!!!!",5,1/19/23,9,Black/White/Anthracite
The shoe looked exactly like the picture!,Sharp shoe!,5,2/4/23,10,Wolf Grey/Black/Pure Platinum
I bought these for my husband for his birthday,Happy Husband,5,4/23/22,10,Black/Anthracite/White
"The shoes are exactly what I hoped they would be, comfortable, fits nice and would purchase them again.",Comfortable shoe and meets expectations,5,11/16/22,13,Cool Grey/Anthracite-dark Grey
It's take a little longer to come than expected but it fit well and looks good.,It fits well as expected,5,11/15/22,8,Cool Grey/Anthracite-dark Grey
"Shoes were brand new,  exactly as advertised.  Would definitely buy from this seller again.  Love the shoes I couldn't find anywhere else!",Exactly as shown. Great Seller!,5,9/2/22,11,Cool Grey/Anthracite-dark Grey
Love that you guys sell Nike stuff,Came quick,5,12/21/22,10,White
I use them for everyday,I love them,5,12/24/22,10,Cool Grey/Anthracite-dark Grey
Great buy for tge money,Great buy for the money,5,12/21/22,12,Cool Grey/Anthracite-dark Grey
Perfect fit great shoes I love them,Great shoes great fit I love them,5,12/3/22,11,Cool Grey/Anthracite-dark Grey
"Very comfortable, nice shoe!","Very  comfortable, nice shoe!",5,12/16/22,10,Black/White/Anthracite
Not true to size,Not true to size,5,12/1/22,13,Black/White/Anthracite
Very nice shoes,Good Shape and very comfortable,5,11/30/22,12,Black/White/Anthracite
Great shoe. My third pair. Great price. I’m going to get another pair.,Comfortable,5,9/21/22,8,Cool Grey/Anthracite-dark Grey
I only wear men Air Nike for running - I have purchased this style of shoe for over 20 years,Great Running Shoes,5,5/31/22,7,Cool Grey/Anthracite-dark Grey
I bought these shoes for my husband and he loved it! He said they are comfortable and fit perfect.,They’re great!,5,5/15/22,8,Black/Anthracite/White
Came in Nike shoe box in brand new condition. I really like the shoes and would buy again.,Nike Air Max,5,5/17/22,11,Black/White/Anthracite
"Excellent product, plan to purchase more of the same style.","Excellent customer services, thank you.",5,9/17/22,9,Cool Grey/Anthracite-dark Grey
"Love how the air feels, great running shoe..","Fits true to size, wider feet might need bigger size or a different product..",5,10/2/22,10,Cool Grey/Anthracite-dark Grey
"Shoe arrived ahead of schedule, nicely packed.  Used for everyday footwear.  Thanks",shoe meets expectations,5,6/27/22,13,Cool Grey/Anthracite-dark Grey
I like the shoes. I use the shoes for styling just kosher chilling today!!,I like the shoes,5,5/10/22,12,Black/White/Anthracite
"love these shoes, item as described. hope they will last for a while.",NIKE AIR MAX 2017,5,5/16/22,7,Black/White/Anthracite
Excelent...,Excelent...,5,10/8/22,13,Cool Grey/Anthracite-dark Grey
Great for support for bad ankles,Awesome,5,10/5/22,11,Bright Crimson/Black
will by again,will buy again,5,9/20/22,8,Cool Grey/Anthracite-dark Grey
product delivered as advertised and on time,good quality,5,8/23/22,9,Black/Black/Black
I like how the feel I’m my feet. Very lite,Very confront able sneaker.,5,6/1/22,13,Black/White/Anthracite
The 2017 Nike Air Max has been my favorite shoe since I first tried them on. It has been hard to find those who are still selling these Air Max shoes and I am hoping that Nike continues to manufacture these continuously. These are probably the 8th pair I have purchased since they came out. Thank you for a great shoe!,Favorite Air Max ever!,5,2/8/20,10,White
These shoes are comfortable and nice looking,Beautiful and comfortable,5,7/3/22,10,White
Nice look,Comfortable,5,9/5/22,12,Black/White/Anthracite
Shoe fits to the tee.,Shoe Size,5,7/28/22,10,Cool Grey/Anthracite-dark Grey
Arrived on time and my husband loves them,nike sneakers,5,4/27/22,10,Black/Anthracite/White
I love this model because their easy on my back pain. I paid to much. But they don't make them anymore,Comfortable,5,8/6/21,10,Cool Grey/Anthracite-dark Grey
It's just what I wanted to replace my old ones.,Love them,5,3/8/22,11,White
Great pair of shoes,Love them,5,5/29/22,11,Black/Anthracite/White
I love my new Nike Air Max! They look like the pictures but fit and feel soo much better. They’re like walking on air. I would like to get another pair. Just waiting for them to become available. I hope you enjoy yours as much as I enjoy mine.,The new design really gives you the feeling of walking on Air Max!,5,1/23/20,10,Wolf Grey/Black/Pure Platinum
best shoe made,Walking On Clouds,5,6/7/22,13,Cool Grey/Anthracite-dark Grey
These are the most comfortable shoes i have ever worn.  I purchased 2 different colors to make sure i could keep them both clean and have the longest possible.,The best shoes i have ever purchased,5,12/22/20,9,White/Dark Grey-wolf Grey
Gym,💯,5,6/4/22,9,Black/White/Anthracite
"Great sneakers for working out, breathable and comfortable",Very good,5,12/29/21,9,Cool Grey/Anthracite-dark Grey
The price for these shoes is ridiculous,"I like the product,  ridiculous pricing for this item",5,2/2/22,14,Black/White/Anthracite
Made great and helps my back,Love these so comfortable for work standing 8 hrs +,5,2/15/22,7,Cool Grey/Anthracite-dark Grey
Nice shoes,COOL,5,4/27/22,11,Black/White/Anthracite
I love it is very comfortable.,The comfort,5,2/8/22,8,Cool Grey/Anthracite-dark Grey
Very pleased,Very pleased,5,4/18/22,11,Black/Anthracite/White
